'actor0', 'A0', 'Verb', 'A1', 'A2', 'Polarity', 'Sentence', 'actor1', 'File Name', 'Date'
'Australia', 'by Australia', 'chair.01', '20 meetings chaired by Australia', '', 'Affirmative', "\xc3\xa2\xe2\x82\xac\xc5\x93This has taken some time to bring to fruition and I think this signing will inject the project with renewed momentum , \xc3\xa2\xe2\x82\xac\xef\xbf\xbd he added in the speech on infrastructure investment in developing countries , a key theme of this year 's G - 20 meetings chaired by Australia . ", 'Australia', 'newsText11010', 2014\05\19
'Brazil', 'by Brazil', 'place.01', 'another order placed by Brazil', '', 'Affirmative', 'Despite the sizeable setback in Switzerland , SAAB AB is said to be constructing the fleet of fighter jets to fulfill another order placed by Brazil last year . ', 'Brazil', 'newsText11019', 2014\05\19
'Brazil', 'the Brazilian press', 'report.01', 'travelled to China', '', 'Affirmative', "A delegation from the Brazilian government travelled to China Friday seeking investments to fund the South American country 's new programme for construction of railway lines , the Brazilian press reported . ", 'China', 'newsText11022', 2014\05\19
'Brunei', 'a U.S. boycott movement targeting Brunei ,', 'target.01', 'Brunei ,', '', 'Affirmative', 'The mix of sharia law - which has also been inaccurately characterized in the press - and anti-gay punishments have formed the perfect storm for a U.S. boycott movement targeting Brunei , which is a close U.S. ally . ', 'Brunei', 'newsText11049', 2014\05\19
'China', 'China', 'accuse.01', 'Vietnamese ships of', '', 'Affirmative', "China , for its part , has continued to accuse Vietnamese ships of similar acts , saying they are trying to disrupt the oil rig 's drilling operation . ", 'Vietnam', 'newsText11055', 2014\05\19
'China', 'Chinese people', 'travel.01', 'to Vietnam', '', 'Affirmative', 'Beijing has also warned Chinese people not to travel to Vietnam and said it will suspend some planned bilateral exchanges with Hanoi , according to Xinhua . ', 'Vietnam', 'newsText11055', 2014\05\19
'Colombia', "President Juan Manuel Santos winning next Sunday 's presidential election", 'deny.01', 'that Zuluaga saved Colombia from Recession', '', 'Affirmative', 'Juan Manuel Santos is not only coarse but a Superliar --- He denies that Zuluaga saved Colombia from Recession ( being Finance Minister ) while the Rest of the World was in great trouble . ', 'Colombia', 'newsText11024', 2014\05\19
'Denmark', 'Denmark', 'say.01', 'China views', '', 'Affirmative', "China views the United States ' so - called rebalance to Asia as a potential threat , believing its focus in the region is encouraging China 's smaller neighbors to stand up to it , Denmark said . ", 'China', 'newsText11055', 2014\05\19
'Russia', 'President Vladimir Putin', 'congratulate.01', 'Narendra Modi ,', 'on', 'Affirmative', 'MOSCOW , May 19 ( RIA Novosti ) - Russian President Vladimir Putin has congratulated Narendra Modi , the designated Prime Minister of India , on the victory of his opposition Bharatiya Janata Party ( BPJ ) in the 2014 Indian general election , the Kremlin said Monday . ', 'India', 'newsText10981', 2014\05\19
'United States', 'John Kerry', 'call.02', 'his Chinese counterpart', '', 'Affirmative', "Secretary of State John Kerry called his Chinese counterpart Wang Yi on Monday , condemning China 's provocative decision to introduce the rig and other government vessels into the disputed territory . ", 'China', 'newsText11055', 2014\05\19
'United States', 'a U.S. boycott movement targeting Brunei ,', 'target.01', 'Brunei ,', '', 'Affirmative', 'The mix of sharia law - which has also been inaccurately characterized in the press - and anti-gay punishments have formed the perfect storm for a U.S. boycott movement targeting Brunei , which is a close U.S. ally . ', 'Brunei', 'newsText11049', 2014\05\19
'United States', "key White House officials including Gene Sperling , President Barack Obama 's top economic adviser at the time", 'fix.02', 'the issue , flagging it at meetings with senior Obama advisers', '', 'Affirmative', 'And we fixed it . ', 'United States', 'newsText10984', 2014\05\19
'United States', 'the Obama administration', 'take.01', 'bi-lingual Belize', '', 'Affirmative', 'The Lodge at Chaa Creek reports that the recent unanimous confirmation of retired California Supreme Court judge Carlos R. Moreno as ambassador to Belize is expected to further strengthen ties between the two countries and indicates that the Obama administration takes Belize seriously . ', 'Belize', 'newsText10989', 2014\05\19
'United States', 'the Obama administration', 'take.01', 'bi-lingual Belize', '', 'Affirmative', 'This is expected to further strengthen ties between the two countries and indicates that the Obama administration takes Belize seriously . ', 'Belize', 'newsText10988', 2014\05\19
'Vietnam', 'Vietnam', 'demand.01', 'that China immediately withdraw', '', 'Affirmative', 'Vietnam has demanded that China immediately withdraw the rig from the disputed waters . ', 'China', 'newsText11055', 2014\05\19
'Vietnam', 'by Vietnam', 'claim.01', 'territory claimed by Vietnam', '', 'Affirmative', "Every Western analyst is understandably concerned about provoking China , but\xc2\xa0they're\xc2\xa0the ones who took indisputably provocative action by rolling that oil rig into territory claimed by Vietnam . ", 'Vietnam', 'newsText11055', 2014\05\19
